"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Arab World","ARB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0173162827202804,0.0383757228898181,0.134426957371112,0.268600018982096,0.61027949516258,1.15434632186791,1.56403238661889,2.6910576732793,3.6377301190284,5.43914118359356,8.15012638255108,10.920410694845,14.2521267897821,17.649919525526,22.5917409784447,26.8545660411496,
"Caribbean small states","CSS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.193109858100437,0.553774127541325,0.904290980775005,1.94323167162433,3.38267841456912,4.94713348102981,8.37665935697773,11.8640925346007,15.071889862219,16.7658901477046,19.4593112666978,23.0256701632692,26.780842455037,28.5071835446155,32.5762187806136,35.2666760463743,
"East Asia & Pacific (all income levels)","EAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00740263038883279,,,0.0810662317293038,0.11921904797036,0.212612614082698,0.471445576515504,1.09284700679652,1.90010513337929,3.43478329097591,5.62105679979303,7.2928793965481,9.03408793041564,10.5850830707577,12.6353249620825,14.7081373050621,16.6656638082867,20.8325648645346,25.3166006947227,29.7739285400428,35.189643851727,
"East Asia & Pacific (developing only)","EAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.00119710626450472,0.0041070983228711,0.0133105886283544,0.0343313853969357,0.0959442908588888,0.327444869849563,0.859968148423769,1.90609303627603,2.79754147118698,4.42906369876164,5.78965632816474,6.91495854008491,8.35437793405554,10.214831513968,14.4414300085654,19.3198479293532,24.047554332405,29.8175582116458,
"Euro area","EMU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0736177555773146,0.168299652403681,0.323843282217917,0.466555252659559,0.843205717509981,1.69543381159719,2.91638400304248,5.15446895157275,8.08262392807522,15.3775556652271,22.6882469383372,27.5660390982994,35.2423793245611,42.0897376197429,47.3694537157056,51.1961990168049,54.8050419738903,61.1990440747157,64.4643015717065,66.7791819685116,71.179514482397,
"Europe & Central Asia (all income levels)","ECS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0479626469794967,,0.261211925394392,0.316544923336769,0.56314541624203,1.02224938003582,1.84115655580137,3.35606025604449,5.42957038975197,9.14522706523402,13.0133094533309,16.1831837576396,23.0053598383039,28.2929215912029,32.3664163994557,35.2058827203279,38.081693643804,43.6773086038428,47.8849102562,51.7451774695415,57.6817791889119,
"Europe & Central Asia (developing only)","ECA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.00910260052228074,0.0376184682293016,0.0891950191968011,0.19437897523606,0.379962978439701,0.707683996034173,1.14626573095894,2.0433754730016,2.9531281088037,5.24916492468661,7.6217134438281,11.1925142242434,12.9110737788398,15.5331970625657,20.9476532172378,25.8272319072894,30.4465150245286,39.3358706446135,
"European Union","EUU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0696563242848906,0.170863280053786,0.308552007052191,0.43569891071443,0.830161268186614,1.58791034432354,2.81642690944015,5.13391687016024,8.43724353113203,14.609054928395,20.5807095171445,25.3296152366881,35.1728078580037,41.8425285328878,46.7826560005788,50.9970453140685,54.5627001998765,60.2904217780628,63.9842221784489,67.0948477464053,70.8083679326567,
"Heavily indebted poor countries (HIPC)","HPC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.00858180427094556,0.0235120041077681,0.0435280317379367,0.106270895906555,0.192335534080738,0.297851674442316,0.439176595313596,0.652002133089929,0.964134624036999,1.53811661062596,2.45351712140314,2.94127341145708,3.73361379295656,3.88540344221936,5.2084669425026,
"High income","HIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268416510196359,0.461586933861242,0.727376469334294,1.01059251206226,2.02767101941272,3.70624393912575,6.77921443794988,10.6839566641884,16.0358776143036,23.0652916597805,30.7305056774771,36.8350818781374,45.5017876444132,50.2208284044957,55.4100818538441,59.1311297712721,61.7775447047586,67.1860525988122,69.249002745673,70.5315020280095,73.4310419954704,
"High income: nonOECD","NOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.904688798172696,1.89124739322303,4.49510420661666,7.52099700913806,11.6119620093309,16.2402748505761,21.2711407534284,27.0199451439592,30.7953502727637,33.3652070587089,35.9614933941653,40.9697092736432,46.4636926973042,51.3960826916862,55.1517322521869,58.5716464152156,
"High income: OECD","OEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287526746723462,0.474226095275545,0.739127435797803,1.02675632901237,2.07184152775635,3.90531320656639,7.14273825619718,11.1506823077559,16.682448217745,23.9430405743403,31.8496963215312,38.0498396949039,46.9905202420873,51.8016246107731,57.2297564802292,61.037537656906,63.5229741137948,68.9617075811399,70.8121124638351,71.8796470395831,74.7693114912303,
"Latin America & Caribbean (all income levels)","LCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0136536988093003,0.0299076184135959,0.0501009268422166,0.110150753211433,0.309512678176976,0.60974241209062,1.22972414300525,2.05472379479575,3.89696856555908,5.64333177988682,8.87023991386863,11.2830864619877,14.4142368902846,16.6369854235963,20.7826728736535,23.7580768358441,26.5172627729808,30.8782277875787,34.1227794485159,
