CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
24934,1990,1.06000000000000005e+00,1,68,1, 1, 1,30,0,0,0,0, 2,16,50.7,11, 0,0,0,0, -1,-1,0, -1,-1
24935,1990,5.30000000000000027e-01,2,64,1, 3, 3, 0,0,0,0,0, 0,16,78.5,12,12,0,0,0, -1,-1,0, -1,-1
24936,1990,1.06000000000000005e+00,1,54,1, 3, 3, 0,0,0,0,0, 3,16,63.5,12,12,0,0,0, -1,-1,0, -1,-1
24937,1990,1.06000000000000005e+00,1,36,1, 3, 1,40,0,0,0,0, 3,18,63.5,12,12,0,0,0, -1,-1,0, -1,-1
24938,1990,1.06000000000000005e+00,2,44,1, 1, 1,35,0,0,0,0, 2,12,38.5,12,11,0,0,0, -1,-1,0, -1,-1
24939,1990,1.06000000000000005e+00,1,28,1, 2, 2, 0,0,0,0,0, 2,12,63.5,12,11,0,0,0, -1,-1,0, -1,-1
24940,1990,1.06000000000000005e+00,2,22,1, 2, 4, 0,0,0,0,0, 2,10,-1.0,12, 0,0,0,0, -1,-1,0, -1,-1
24941,1990,1.06000000000000005e+00,2,38,1, 5, 5, 0,0,0,0,0, 0,14,73.3,12,12,0,0,0, -1,-1,0, -1,-1
24942,1990,1.59000000000000008e+00,2,47,1, 1, 2, 0,0,0,0,0, 1,12,17.1,98,98,0,0,0, -1,-1,0, -1,-1
24943,1990,1.06000000000000005e+00,1,21,3, 5, 5, 0,0,0,0,0, 0,12,37.4,11, 9,0,0,0, -1,-1,0, -1,-1
24944,1990,5.30000000000000027e-01,2,33,1, 1, 1,11,0,0,0,0, 0,12,60.5,10,10,0,0,0, -1,-1,0, -1,-1
24945,1990,1.06000000000000005e+00,1,58,1, 4, 1,38,0,0,0,0, 1, 8,31.3,12,12,0,0,0, -1,-1,0, -1,-1
24946,1990,1.06000000000000005e+00,2,36,1, 1, 1,40,0,0,0,0, 1,12,29.3,10, 0,0,0,0, -1,-1,0, -1,-1
24947,1990,5.30000000000000027e-01,1,33,1, 2, 2, 0,0,0,0,0, 0,12,38.1,10,10,0,0,0, -1,-1,0, -1,-1
24948,1990,1.06000000000000005e+00,1,26,2, 1, 1,60,0,0,0,0, 0,12,33.1,98,98,0,0,0, -1,-1,0, -1,-1
24949,1990,1.06000000000000005e+00,1,57,1, 4, 1,70,0,0,0,0, 0,17,40.0, 4, 4,0,0,0, -1,-1,0, -1,-1
24950,1990,1.06000000000000005e+00,2,31,1, 2, 1,28,0,0,0,0, 2,14,64.2,12, 9,0,0,0, -1,-1,0, -1,-1
24951,1990,1.06000000000000005e+00,1,61,2, 1, 1,14,0,0,0,0, 1,12,50.7,12,11,0,0,0, -1,-1,0, -1,-1
24952,1990,1.06000000000000005e+00,2,30,3, 2, 2, 0,0,0,0,0, 0,14,76.4,12,10,0,0,0, -1,-1,0, -1,-1
24953,1990,5.30000000000000027e-01,2,44,2, 1, 1,18,0,0,0,0, 0,10,33.1, 2, 0,0,0,0, -1,-1,0, -1,-1
24954,1990,1.06000000000000005e+00,1,34,3, 2, 2, 0,0,0,0,0, 2,12,63.5,10, 9,0,0,0, -1,-1,0, -1,-1
24955,1990,1.06000000000000005e+00,2,57,2, 1, 1,60,0,0,0,0, 0,11,28.4, 3,98,0,0,0, -1,-1,0, -1,-1
24956,1990,5.30000000000000027e-01,2,42,1, 3, 3, 0,0,0,0,0, 0,20,92.3,12, 9,0,0,0, -1,-1,0, -1,-1
24957,1990,1.06000000000000005e+00,2,62,1, 1, 1,22,0,0,0,0, 1,17,62.5,12, 5,0,0,0, -1,-1,0, -1,-1
24958,1990,1.06000000000000005e+00,1,66,1, 3, 3, 0,0,0,0,0, 3,20,89.3,12,12,0,0,0, -1,-1,0, -1,-1
24959,1990,1.06000000000000005e+00,2,48,1, 4, 2, 0,0,0,0,0, 4,18,78.5,12,11,0,0,0, -1,-1,0, -1,-1
24960,1990,1.06000000000000005e+00,2,64,1, 3, 3, 0,0,0,0,0, 3,14,38.4,12, 0,0,0,0, -1,-1,0, -1,-1
24961,1990,1.06000000000000005e+00,2,30,1, 4, 2, 0,0,0,0,0, 4,12,63.5,12,12,0,0,0, -1,-1,0, -1,-1
24962,1990,1.06000000000000005e+00,1,72,1, 1, 1,60,0,0,0,0, 1,13,31.5,10, 0,0,0,0, -1,-1,0, -1,-1
24963,1990,1.06000000000000005e+00,1,30,1, 1, 1,28,0,0,0,0, 0,16,47.0, 9, 9,0,0,0, -1,-1,0, -1,-1
24964,1990,1.06000000000000005e+00,2,24,1, 2, 2, 0,0,0,0,0, 0,12,61.9,12,10,0,0,0, -1,-1,0, -1,-1
24965,1990,5.30000000000000027e-01,2,74,1, 2, 2, 0,0,0,0,0, 0,15,38.4,10, 0,0,0,0, -1,-1,0, -1,-1
24966,1990,5.30000000000000027e-01,2,32,2, 1, 1,14,0,0,0,0, 0,14,69.2, 9, 9,0,0,0, -1,-1,0, -1,-1
24967,1990,1.06000000000000005e+00,1,26,1, 2, 1,14,0,0,0,0, 2,17,63.5,11,11,0,0,0, -1,-1,0, -1,-1
24968,1990,1.59000000000000008e+00,1,32,3, 1, 2, 0,0,0,0,0, 0,14,73.6,12,11,0,0,0, -1,-1,0, -1,-1
24969,1990,1.06000000000000005e+00,2,45,1, 4, 1,15,0,0,0,0, 0,14,54.5, 8, 8,0,0,0, -1,-1,0, -1,-1
24970,1990,1.06000000000000005e+00,2,28,1, 1, 1,32,0,0,0,0, 4,14,38.4,12,12,0,0,0, -1,-1,0, -1,-1
24971,1990,5.30000000000000027e-01,1,50,1, 4, 4, 0,0,0,0,0, 0,18,69.2,10,10,0,0,0, -1,-1,0, -1,-1
24972,1990,5.30000000000000027e-01,2,24,2, 1, 1,18,0,0,0,0, 0,18,69.2,99, 0,0,0,0, -1,-1,0, -1,-1
24973,1990,1.59000000000000008e+00,2,19,1, 5, 4, 0,0,0,0,0, 0,11,32.4,98, 0,0,0,0, -1,-1,0, -1,-1
24974,1990,1.06000000000000005e+00,2,49,1, 2, 2, 0,0,0,0,0, 2,12,25.2,12,12,0,0,0, -1,-1,0, -1,-1
24975,1990,1.06000000000000005e+00,1,56,1, 2, 2, 0,0,0,0,0, 2,12,44.4,12,11,0,0,0, -1,-1,0, -1,-1
24976,1990,5.30000000000000027e-01,1,45,1, 2, 2, 0,0,0,0,0, 0,14,63.5, 8, 0,0,0,0, -1,-1,0, -1,-1
24977,1990,5.30000000000000027e-01,1,32,1, 1,99,99,0,0,0,0, 0,13,30.2,10,10,0,0,0, -1,-1,0, -1,-1
24978,1990,2.12999999999999989e+00,1,29,1, 4, 4, 0,0,0,0,0, 0,14,37.8,12,11,0,0,0, -1,-1,0, -1,-1
24979,1990,5.30000000000000027e-01,2,56,1, 2, 2, 0,0,0,0,0, 0,15,38.4,12,12,0,0,0, -1,-1,0, -1,-1
24980,1990,1.06000000000000005e+00,2,56,1, 1, 1,22,0,0,0,0, 1,12,64.2,12,12,0,0,0, -1,-1,0, -1,-1
24981,1990,1.06000000000000005e+00,2,84,1, 3, 3, 0,0,0,0,0, 0, 8,36.2, 7, 0,0,0,0, -1,-1,0, -1,-1
24982,1990,1.06000000000000005e+00,1,26,1, 2, 2, 0,0,0,0,0, 2,14,63.2,12,12,0,0,0, -1,-1,0, -1,-1
24983,1990,5.30000000000000027e-01,1,62,1, 2, 2, 0,0,0,0,0, 0,12,38.4,13,13,0,0,0, -1,-1,0, -1,-1
24984,1990,1.06000000000000005e+00,2,65,1, 2, 2, 0,0,0,0,0, 0,12,38.4,11, 7,0,0,0, -1,-1,0, -1,-1
