CASEID,YEAR,COMPWT,AGE,RACE,SEX,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9,SWITCH1,SWITCH2,SWITCH3,SWITAGE1,SWITAGE2,SWITWHY1,SWITWHY2
22622,1988,5.30000000000000027e-01,71,1,2,1,0,0,2, 1,60, 58,1, 1,70,  0,2,4, 0,  0,0,3,0,    0,1,70,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,160058,     0,     0,32,-1,50, 0
22623,1988,5.30000000000000027e-01,26,1,2,1,0,0,0, 1,14,  0,1, 1,14,  0,1,1,14,  0,0,1,0,    0,1,14,  0,3,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22624,1988,5.30000000000000027e-01,74,1,2,1,0,0,1, 1,99,999,9, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,8,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,999999,     0,     0,42,-1,76, 0
22625,1988,5.30000000000000027e-01,45,1,1,1,0,1,0, 1,60, 36,1, 1,41,  0,3,1,70,  0,0,2,0,    0,1,70,  0,0,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,141000,160036,     0,38,41,50,20
22626,1988,5.30000000000000027e-01,85,1,2,1,0,0,3, 1,18,  0,1, 1,48,  0,3,1,60,111,9,1,0,    0,1,48,  0,9,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,118000,     0,     0,98,-1,78, 0
22627,1988,5.30000000000000027e-01,75,1,2,2,2,2,2, 1,48,  0,3, 1,28,  0,3,1,70,  0,0,2,0,    0,1,28,  0,0,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,148000,     0,     0,20,-1,50, 0
22628,1988,5.30000000000000027e-01,89,1,2,1,8,4,0, 1,48,  0,3, 1,48,  0,3,4, 0,  0,9,3,0,    0,1,48,  0,9,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22629,1988,5.30000000000000027e-01,71,1,2,1,0,2,2, 1,48,  0,3, 1,48,  0,3,1,48,  0,7,3,0,    0,1,60, 45,7,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,118000,148000,     0,65,99,99,99
22630,1988,5.30000000000000027e-01,80,1,2,1,0,0,1, 1,38,  0,2, 1,38,  0,2,1,38,  0,7,2,0,    0,1,38,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22631,1988,1.06000000000000005e+00,27,1,1,1,0,3,0, 1,22,  0,3, 1,14,  0,1,1,14,  0,0,1,0,    0,2, 0,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,200000,122000,     0,18,99,50,60
22632,1988,5.30000000000000027e-01,42,1,2,1,0,0,3, 1,60, 35,1, 1,60, 35,1,4, 0,  0,1,3,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22633,1988,1.06000000000000005e+00,67,1,1,1,0,0,5, 4, 0,  0,3, 1,28,  0,3,1,28,  0,2,3,0,    0,1,28,  0,8,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,500000,     0,     0,13,-1,99, 0
22634,1988,1.06000000000000005e+00,89,1,1,2,8,4,0, 1,50,  0,3, 1,50,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,22,  0,3,3,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22635,1988,1.59000000000000008e+00,51,1,1,1,0,2,4, 1,22,  0,3, 1,22,  0,3,1,22,  0,4,3,0,    0,0, 0,  0, ,0,0,    0, 1,22,  0,1,3,1,14,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22636,1988,1.06000000000000005e+00,60,1,1,1,0,0,5, 1,50,  0,3, 1,22,  0,3,1,22,  0,2,3,0,    0,1,22,  0,7,3,0,    0, 1,50,  0,0,3,1,50,   0,   0,   0,   0,   0,   0,   0,   0,   0,150000,     0,     0,21,-1,10, 0
22637,1988,1.06000000000000005e+00,44,2,2,1,0, ,3, 1,10,  0,1, 1,10,  0,1,1,10,  0,7,1,0,    0,1,28,  0,7,3,0,    0, 1,10,  0,1,1,1,10,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22638,1988,1.06000000000000005e+00,61,2,2,1,0,0,2, 1,12,  0,1, 1,20,  0,2,1,20,  0,7,2,0,    0,1,20,  0,7,2,0,    0, 1,12,  0,8,1,1,12,   0,   0,   0,   0,   0,   0,   0,   0,   0,112000,     0,     0,18,-1,10, 0
