CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,INCOME,RINCOME,PASEI,MASEI,INTRHOME,WWWHR
35307,1998,1.10000000000000009e+00,1,45,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 3, 7,16,97,12,81.0,12,12,-1.0,37.7,0, -1
35308,1998,5.50000000000000044e-01,1,79,1, 1,22,  0,3, 1,14,  0,1,0, 0,  0, ,0,1,18000,0, 0,  0, ,0,1,18000, 0, 0,  0, ,0,0, 0, 4, 7,19,97,12,83.2,12,99,-1.0,-1.0,0, -1
35309,1998,5.50000000000000044e-01,2,81,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16, 8, 6,38.4,12,99,38.2,22.5,0, -1
35310,1998,1.10000000000000009e+00,1,65,1, 1,14,  0,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,18, 6, 8,46.7,13,98,33.2,-1.0,0, -1
35311,1998,5.50000000000000044e-01,2,75,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12,16,12,73.3,13,99,76.4,-1.0,0, -1
35312,1998,5.50000000000000044e-01,2,36,1, 1,31,  0,2, 1,70,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,15, 5,12,38.4,98,13,50.7,50.7,0, -1
35313,1998,5.50000000000000044e-01,2,48,1, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,14,13,10,65.8,12,12,-1.0,46.8,0, -1
35314,1998,5.50000000000000044e-01,2,61,1, 1,60, 80,3, 1,22,  0,3,0, 0,  0, ,0,1,28000,0, 0,  0, ,0,1,28000, 0, 0,  0, ,0,0, 0, 1, 4,13, 6, 8,37.7,12,12,50.5,-1.0,0, -1
35315,1998,5.50000000000000044e-01,1,59,1, 1,22,  0,3, 1,14,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,97, 8,60.6,13,13,-1.0,27.5,0, -1
35316,1998,1.10000000000000009e+00,1,73,1, 1,14,  0,1, 1,70,  0,2,0, 0,  0, ,0,1,28000,0, 0,  0, ,0,1,99999, 0, 0,  0, ,0,0, 0, 1, 8,12, 7, 7,82.7,13,13,28.6,-1.0,0, -1
35317,1998,5.50000000000000044e-01,1,51,1, 3, 0,  0,3, 1,14,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,15, 9, 5,76.4,13,13,45.8,-1.0,0, -1
35318,1998,1.10000000000000009e+00,2,56,1, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,12,12,12,63.2,13,13,73.3,38.4,0, -1
35319,1998,5.50000000000000044e-01,1,41,1, 1,60, 35,1, 1,60, 35,1,0, 0,  0, ,0,1,99999,0, 0,  0, ,0,1,99999, 0, 0,  0, ,0,0, 0, 9, 9,14,16,16,50.3,12,12,38.9,-1.0,0, -1
35320,1998,5.50000000000000044e-01,2,64,1, 1,22,  0,3, 1,28,  0,3,0, 0,  0, ,0,1,28000,0, 0,  0, ,0,1,28000, 0, 0,  0, ,0,0, 0, 7, 7,13,16,16,33.1,11, 0,63.5,-1.0,0, -1
35321,1998,5.50000000000000044e-01,2,50,1,13, 0,  0,9, 1,34,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,97, 6,82.7,11,11,-1.0,63.5,0, -1
35322,1998,5.50000000000000044e-01,1,31,3, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 6,99,11,98,98,64.1,13,13,35.1,38.9,0, -1
