CASEID,YEAR,COMPWT,SEX,AGE,RACE,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,PASEI,MASEI,INTRHOME
51691,2008,8.80000000000000004e-01,2,35,1,1,0,0,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,18,  0, ,1,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,14,16,12,38.9,45.4,51.9,1
51692,2008,8.80000000000000004e-01,2,34,1,1,8,4,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 2, 8,13, 3, 0,46.7,44.8,25.9,0
51693,2008,8.80000000000000004e-01,1,41,1,1,0,0,6, 1,60, 64,1, 1,60, 64,1,0, 0,  0, ,0,1,60064,0, 0,  0, ,0,1,60064, 1,60, 64, ,1,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,20,20,14,91.7,37.3,-1.0,1
51694,2008,8.80000000000000004e-01,2,31,1,1,0,1,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,18,14,12,64.1,53.3,33.1,1
51695,2008,1.07000000000000006e+00,2,24,1,1,1,3,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 6, 6,18,97,18,-1.0,-1.0,74.4,1
51696,2008,2.14000000000000012e+00,2,28,3,1,1,2,0, 4, 0,  0,3, 9, 0,  0,9,0, 0,  0, ,0,5,    0,0, 0,  0, ,0,1,70000, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 6, 4,20,20,97,97.2,87.0,-1.0,1
51697,2008,4.40000000000000002e-01,2,32,2,1,0,0,0, 6, 0,  0,9, 1,18,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,18,16,18,80.2,86.5,71.6,1
51698,2008,8.80000000000000004e-01,1,31,1,2,8,4,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0, 8, 8, 6,33.1,37.3,38.4,1
51699,2008,8.80000000000000004e-01,2,24,1,1,0,0,0, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,16,97,16,63.5,-1.0,-1.0,1
51700,2008,4.40000000000000002e-01,1,34,2,1,0,0,0, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,98, 1,19,97,14,81.9,-1.0,70.5,0
